tweets,a,b,c,d,e,f,g,h,i,f
"bfreenews_green;2011-04-29 11:02;0;0;""Are The Latest US Storms  Floods & Fires Related to Climate Change? Yes  Yes",, Yes,,,"bfreenews_green;2011-04-29 11:02;0;0;""Are The Latest US Storms",, Floods & Fires Related to Climate Change? Yes,,"bfreenews_green;2011-04-29 11:02;0;0;""Are The Latest US Storms  Floods & Fires Related to Climate Change? Yes",
"AlexMStark;2011-04-29 11:02;0;0;""Admiral Mullen: "" # climate change’s potential impacts are sobering and far-reaching  covered by NRDC's @ jschmidtnrdc http://bit.ly/kcY6Ak;;@;#;""63996630898196480"";https://twitter.com/AlexMStark/status/63996630898196480 ",,,,,"AlexMStark;2011-04-29 11:02;0;0;""Admiral Mullen: "" # climate change’s potential impacts are sobering and far-reaching",," covered by NRDC's @ jschmidtnrdc http://bit.ly/kcY6Ak;;@;#;""63996630898196480"";https://twitter.com/AlexMStark/status/63996630898196480",,"AlexMStark;2011-04-29 11:02;0;0;""Admiral Mullen: "" # climate change’s potential impacts are sobering and far-reaching  covered by NRDC's @ jschmidtnrdc http://bit.ly/kcY6Ak;;@;#;""63996630898196480"";https://twitter.com/AlexMStark/status/63996630898196480",
"mikkdepriest;2011-04-29 11:02;0;0;""Bettye Parker Smith asks how are we going to change the climate @ # hbcusummit # Spelman"";;@;# #;""63996574820335616"";https://twitter.com/mikkdepriest/status/63996574820335616  ",,,,,"mikkdepriest;2011-04-29 11:02;0;0;""Bettye Parker Smith asks how are we going to change the climate @ # hbcusummit # Spelman"";;@;# #;""63996574820335616"";https://twitter.com/mikkdepriest/status/63996574820335616",,,,"mikkdepriest;2011-04-29 11:02;0;0;""Bettye Parker Smith asks how are we going to change the climate @ # hbcusummit # Spelman"";;@;# #;""63996574820335616"";https://twitter.com/mikkdepriest/status/63996574820335616 ",
"AGW_IS_A_HOAX;2011-04-29 11:01;0;0;""Climate-change fanatics search for new meaning in tragedy http://www.climatedepot.com/a/10806/Paper-Tornadoes-spinning-global-warming-Climatechange-fanatics-search-for-new-meaning-in-tragedy … # AGW # Eco # Green # Climate # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # #;""63996216974901248"";https://twitter.com/AGW_IS_A_HOAX/status/63996216974901248  ",,,,,"AGW_IS_A_HOAX;2011-04-29 11:01;0;0;""Climate-change fanatics search for new meaning in tragedy http://www.climatedepot.com/a/10806/Paper-Tornadoes-spinning-global-warming-Climatechange-fanatics-search-for-new-meaning-in-tragedy … # AGW # Eco # Green # Climate # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # #;""63996216974901248"";https://twitter.com/AGW_IS_A_HOAX/status/63996216974901248",,,,"AGW_IS_A_HOAX;2011-04-29 11:01;0;0;""Climate-change fanatics search for new meaning in tragedy http://www.climatedepot.com/a/10806/Paper-Tornadoes-spinning-global-warming-Climatechange-fanatics-search-for-new-meaning-in-tragedy … # AGW # Eco # Green # Climate # CO2 # ClimateChange # GlobalWarming"";;;# # # # # # #;""63996216974901248"";https://twitter.com/AGW_IS_A_HOAX/status/63996216974901248 ",
"ICOns_;2011-04-29 11:00;1;0;""OP-ED COLUMNIST; The Truth  Still Inconvenient http://bit.ly/e1tsUW # globalwarming # climatechange # green"";;;# # #;""63996191137988609"";https://twitter.com/ICOns_/status/63996191137988609 ",,,,,"ICOns_;2011-04-29 11:00;1;0;""OP-ED COLUMNIST; The Truth",," Still Inconvenient http://bit.ly/e1tsUW # globalwarming # climatechange # green"";;;# # #;""63996191137988609"";https://twitter.com/ICOns_/status/63996191137988609",,"ICOns_;2011-04-29 11:00;1;0;""OP-ED COLUMNIST; The Truth  Still Inconvenient http://bit.ly/e1tsUW # globalwarming # climatechange # green"";;;# # #;""63996191137988609"";https://twitter.com/ICOns_/status/63996191137988609",
"AutonomousUAV;2011-04-29 11:00;0;0;""Methane Leaks Can Make Fracking Gas Dirtier Than Coal Or Oil - Pollution Online (press rel http://bit.ly/kFGhAL - # ClimateChange # Climate"";;;# #;""63996071508049920"";https://twitter.com/AutonomousUAV/status/63996071508049920  ",,,,,"AutonomousUAV;2011-04-29 11:00;0;0;""Methane Leaks Can Make Fracking Gas Dirtier Than Coal Or Oil - Pollution Online (press rel http://bit.ly/kFGhAL - # ClimateChange # Climate"";;;# #;""63996071508049920"";https://twitter.com/AutonomousUAV/status/63996071508049920",,,,"AutonomousUAV;2011-04-29 11:00;0;0;""Methane Leaks Can Make Fracking Gas Dirtier Than Coal Or Oil - Pollution Online (press rel http://bit.ly/kFGhAL - # ClimateChange # Climate"";;;# #;""63996071508049920"";https://twitter.com/AutonomousUAV/status/63996071508049920 ",
"climateprayer;2011-04-29 11:00;0;0;""Symptom of climate change - conflict as prices rise. Pray for peace in Uganda as unrest flares in streets. http://ow.ly/4Jy0w"";;;;""63996049383096321"";https://twitter.com/climateprayer/status/63996049383096321  ",,,,,"climateprayer;2011-04-29 11:00;0;0;""Symptom of climate change - conflict as prices rise. Pray for peace in Uganda as unrest flares in streets. http://ow.ly/4Jy0w"";;;;""63996049383096321"";https://twitter.com/climateprayer/status/63996049383096321",,,,"climateprayer;2011-04-29 11:00;0;0;""Symptom of climate change - conflict as prices rise. Pray for peace in Uganda as unrest flares in streets. http://ow.ly/4Jy0w"";;;;""63996049383096321"";https://twitter.com/climateprayer/status/63996049383096321 ",
"Vandahmier;2011-04-29 11:00;0;0;""Foul winds of political climate change - The Australian: ABC OnlineFoul winds of political climate changeThe Aus... http://bit.ly/jAKxBc"";;;;""63996028851978240"";https://twitter.com/Vandahmier/status/63996028851978240  ",,,,,"Vandahmier;2011-04-29 11:00;0;0;""Foul winds of political climate change - The Australian: ABC OnlineFoul winds of political climate changeThe Aus... http://bit.ly/jAKxBc"";;;;""63996028851978240"";https://twitter.com/Vandahmier/status/63996028851978240",,,,"Vandahmier;2011-04-29 11:00;0;0;""Foul winds of political climate change - The Australian: ABC OnlineFoul winds of political climate changeThe Aus... http://bit.ly/jAKxBc"";;;;""63996028851978240"";https://twitter.com/Vandahmier/status/63996028851978240 ",
"Oddly_Thing;2011-04-29 10:59;0;0;""Whenever I see weather that deviates from the mean  I attribute it to global climate change."";;;;""63995946232582144"";https://twitter.com/Oddly_Thing/status/63995946232582144 ",,,,,"Oddly_Thing;2011-04-29 10:59;0;0;""Whenever I see weather that deviates from the mean",," I attribute it to global climate change."";;;;""63995946232582144"";https://twitter.com/Oddly_Thing/status/63995946232582144",,"Oddly_Thing;2011-04-29 10:59;0;0;""Whenever I see weather that deviates from the mean  I attribute it to global climate change."";;;;""63995946232582144"";https://twitter.com/Oddly_Thing/status/63995946232582144",
"CaterpillarsEnd;2011-04-29 10:59;0;0;""Tornado Swarms May Not Be Linked to Climate Change http://bit.ly/kNv0gP"";;;;""63995943447560192"";https://twitter.com/CaterpillarsEnd/status/63995943447560192  ",,,,,"CaterpillarsEnd;2011-04-29 10:59;0;0;""Tornado Swarms May Not Be Linked to Climate Change http://bit.ly/kNv0gP"";;;;""63995943447560192"";https://twitter.com/CaterpillarsEnd/status/63995943447560192",,,,"CaterpillarsEnd;2011-04-29 10:59;0;0;""Tornado Swarms May Not Be Linked to Climate Change http://bit.ly/kNv0gP"";;;;""63995943447560192"";https://twitter.com/CaterpillarsEnd/status/63995943447560192 ",
"cityzenvideo;2011-04-29 10:59;0;0;""Fear of Climate Change Falling Precipitously http://bit.ly/msf3bV"";;;;""63995931330215936"";https://twitter.com/cityzenvideo/status/63995931330215936  ",,,,,"cityzenvideo;2011-04-29 10:59;0;0;""Fear of Climate Change Falling Precipitously http://bit.ly/msf3bV"";;;;""63995931330215936"";https://twitter.com/cityzenvideo/status/63995931330215936",,,,"cityzenvideo;2011-04-29 10:59;0;0;""Fear of Climate Change Falling Precipitously http://bit.ly/msf3bV"";;;;""63995931330215936"";https://twitter.com/cityzenvideo/status/63995931330215936 ",
"neil_lombardi;2011-04-29 10:59;0;0;""Michelle Malkin knocking Brian Williams on her twitter page??? She needs a little climate change. preferably far far away. # brainlessbroad"";;;#;""63995798190440448"";https://twitter.com/neil_lombardi/status/63995798190440448  ",,,,,"neil_lombardi;2011-04-29 10:59;0;0;""Michelle Malkin knocking Brian Williams on her twitter page??? She needs a little climate change. preferably far far away. # brainlessbroad"";;;#;""63995798190440448"";https://twitter.com/neil_lombardi/status/63995798190440448",,,,"neil_lombardi;2011-04-29 10:59;0;0;""Michelle Malkin knocking Brian Williams on her twitter page??? She needs a little climate change. preferably far far away. # brainlessbroad"";;;#;""63995798190440448"";https://twitter.com/neil_lombardi/status/63995798190440448 ",
"CAFEfoundation;2011-04-29 10:58;0;0;""# 2011EAS Climate change is ""unambiguous"" - Dr Ben Santer"";;;#;""63995695090237440"";https://twitter.com/CAFEfoundation/status/63995695090237440  ",,,,,"CAFEfoundation;2011-04-29 10:58;0;0;""# 2011EAS Climate change is ""unambiguous"" - Dr Ben Santer"";;;#;""63995695090237440"";https://twitter.com/CAFEfoundation/status/63995695090237440",,,,"CAFEfoundation;2011-04-29 10:58;0;0;""# 2011EAS Climate change is ""unambiguous"" - Dr Ben Santer"";;;#;""63995695090237440"";https://twitter.com/CAFEfoundation/status/63995695090237440 ",
"SouthAfrica_new;2011-04-29 10:58;0;0;""Manuel to Co-Chair Committee On Climate Change http://dlvr.it/Q6ky7"";;;;""63995513158107136"";https://twitter.com/SouthAfrica_new/status/63995513158107136  ",,,,,"SouthAfrica_new;2011-04-29 10:58;0;0;""Manuel to Co-Chair Committee On Climate Change http://dlvr.it/Q6ky7"";;;;""63995513158107136"";https://twitter.com/SouthAfrica_new/status/63995513158107136",,,,"SouthAfrica_new;2011-04-29 10:58;0;0;""Manuel to Co-Chair Committee On Climate Change http://dlvr.it/Q6ky7"";;;;""63995513158107136"";https://twitter.com/SouthAfrica_new/status/63995513158107136 ",
"Moniera1;2011-04-29 10:56;0;0;""michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp"";;;#;""63995180302344193"";https://twitter.com/Moniera1/status/63995180302344193  ",,,,,"Moniera1;2011-04-29 10:56;0;0;""michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp"";;;#;""63995180302344193"";https://twitter.com/Moniera1/status/63995180302344193",,,,"Moniera1;2011-04-29 10:56;0;0;""michellemalkin: Brian Williams floats baseless climate change/tornado hooey- Honorary # sorosmonkey http://is.gd/w3zVUp"";;;#;""63995180302344193"";https://twitter.com/Moniera1/status/63995180302344193 ",
"mavaburta;2011-04-29 10:55;0;0;""Cognitive Dissonance Is Fueling Conservative Denial http://fdl.me/lPa3gY from @ firedoglake # climatechange"";;@;#;""63994951133962240"";https://twitter.com/mavaburta/status/63994951133962240  ",,,,,"mavaburta;2011-04-29 10:55;0;0;""Cognitive Dissonance Is Fueling Conservative Denial http://fdl.me/lPa3gY from @ firedoglake # climatechange"";;@;#;""63994951133962240"";https://twitter.com/mavaburta/status/63994951133962240",,,,"mavaburta;2011-04-29 10:55;0;0;""Cognitive Dissonance Is Fueling Conservative Denial http://fdl.me/lPa3gY from @ firedoglake # climatechange"";;@;#;""63994951133962240"";https://twitter.com/mavaburta/status/63994951133962240 ",
"JG_Dodge;2011-04-29 10:55;0;0;""@ michellemalkin Southern tornadoes  what say you climate change deniers?"";;@;;""63994950399959041"";https://twitter.com/JG_Dodge/status/63994950399959041 ",,,,,"JG_Dodge;2011-04-29 10:55;0;0;""@ michellemalkin Southern tornadoes",," what say you climate change deniers?"";;@;;""63994950399959041"";https://twitter.com/JG_Dodge/status/63994950399959041",,"JG_Dodge;2011-04-29 10:55;0;0;""@ michellemalkin Southern tornadoes  what say you climate change deniers?"";;@;;""63994950399959041"";https://twitter.com/JG_Dodge/status/63994950399959041",
"environmentguru;2011-04-29 10:55;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/ckijJ"";;;;""63994892820545536"";https://twitter.com/environmentguru/status/63994892820545536  ",,,,,"environmentguru;2011-04-29 10:55;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/ckijJ"";;;;""63994892820545536"";https://twitter.com/environmentguru/status/63994892820545536",,,,"environmentguru;2011-04-29 10:55;0;0;""China drafting special law on climate change: official: China’s chief negotiator to UN… http://goo.gl/fb/ckijJ"";;;;""63994892820545536"";https://twitter.com/environmentguru/status/63994892820545536 ",
"UpwardPost;2011-04-29 10:55;0;0;""Meteorologists: Tornadoes caused by torrential winds  not climate change http://tinyurl.com/6l4zwyo"";;;;""63994822314295296"";https://twitter.com/UpwardPost/status/63994822314295296 ",,,,,"UpwardPost;2011-04-29 10:55;0;0;""Meteorologists: Tornadoes caused by torrential winds",," not climate change http://tinyurl.com/6l4zwyo"";;;;""63994822314295296"";https://twitter.com/UpwardPost/status/63994822314295296",,"UpwardPost;2011-04-29 10:55;0;0;""Meteorologists: Tornadoes caused by torrential winds  not climate change http://tinyurl.com/6l4zwyo"";;;;""63994822314295296"";https://twitter.com/UpwardPost/status/63994822314295296",
"TransformCapMgt;2011-04-29 10:55;0;0;""Interior department: Climate change could cut water flow in several of American West's largest river basins by up to 20% http://ow.ly/4IWnZ"";;;;""63994740881887235"";https://twitter.com/TransformCapMgt/status/63994740881887235  ",,,,,"TransformCapMgt;2011-04-29 10:55;0;0;""Interior department: Climate change could cut water flow in several of American West's largest river basins by up to 20% http://ow.ly/4IWnZ"";;;;""63994740881887235"";https://twitter.com/TransformCapMgt/status/63994740881887235",,,,"TransformCapMgt;2011-04-29 10:55;0;0;""Interior department: Climate change could cut water flow in several of American West's largest river basins by up to 20% http://ow.ly/4IWnZ"";;;;""63994740881887235"";https://twitter.com/TransformCapMgt/status/63994740881887235 ",
"USFWSSoutheast;2011-04-29 10:55;1;0;""Beyond Season's End says our # fws50 # climate change story series is of interest to hunters  anglers: http://beyondseasonsend.org/50-stories-share-field-notes-on-climate-change/ …"";;;# #;""63994709659488257"";https://twitter.com/USFWSSoutheast/status/63994709659488257 ",,,,,"USFWSSoutheast;2011-04-29 10:55;1;0;""Beyond Season's End says our # fws50 # climate change story series is of interest to hunters",," anglers: http://beyondseasonsend.org/50-stories-share-field-notes-on-climate-change/ …"";;;# #;""63994709659488257"";https://twitter.com/USFWSSoutheast/status/63994709659488257",,"USFWSSoutheast;2011-04-29 10:55;1;0;""Beyond Season's End says our # fws50 # climate change story series is of interest to hunters  anglers: http://beyondseasonsend.org/50-stories-share-field-notes-on-climate-change/ …"";;;# #;""63994709659488257"";https://twitter.com/USFWSSoutheast/status/63994709659488257",
"environmentaide;2011-04-29 10:54;1;0;""American Pika extinction rates have increased nearly five-fold over the past ten years as a result of global climate change ... http://ping."";;;;""63994584795054080"";https://twitter.com/environmentaide/status/63994584795054080  ",,,,,"environmentaide;2011-04-29 10:54;1;0;""American Pika extinction rates have increased nearly five-fold over the past ten years as a result of global climate change ... http://ping."";;;;""63994584795054080"";https://twitter.com/environmentaide/status/63994584795054080",,,,"environmentaide;2011-04-29 10:54;1;0;""American Pika extinction rates have increased nearly five-fold over the past ten years as a result of global climate change ... http://ping."";;;;""63994584795054080"";https://twitter.com/environmentaide/status/63994584795054080 ",
